author,title,journal,year,pub-number,code
"McDonald, Michael",Recent Progress in Research and Development of Hallow Cathodes for Electric Propulsion.,Reviews of Modern Plasma Physics.,2019,19-1231-2054,99991
"Redfield, Signe",Robotics: An Academic Discipline.,Frontiers in Robotics and AI.,2019,19-1231-0745,99991
"Redfield, Signe",The Discipline of Robotics.,IEEE Robotics and Automation Letters.,2019,19-1231-0169,99991
"McDonald, Michael",Improved Heater Design for High-Temperature Hollow Cathodes.,Review of Scientific Instruments.,2017,17-1231-4551,99991
"Redfield, Signe",Verification Challenges for Autonomous Systems.,,2017,17-1231-0047,99991
